**Name**, **Affiliation**
Sergey Bratus, Dartmouth College
Kevin Butler, University of Florida
Prasad Calyam, University of Missouri
Jean Camp, Indiana University - Bloomington
Bruce Childers, University of Pittsburgh
Ludovic Courtes, INRIA
Jack Davidson, University of Virginia
Lorenzo De Carli, University of Calgary
Ewa Deelman, Information Sciences Institute
David Eyers, University of Otago
Dustin Fraze, Microsoft
Juliana Freire, New York University
Fraida Fund, New York University
Grigori Fursin, CodeReef.ai / cTuning foundation
Simson Garfinkel, BasisTech
Paul Groth, University of Amsterdam
Kevin Hamlen, University of Texas - Dallas
Marc Herbstritt, University of Freiburg
Thomas Hildebrandt, University of Copenhagen
Alefiya Hussain, Information Sciences Institute
Daniel Katz, University of Illinois - Urbana-Champaign
Joshua Kroll, Naval Postgraduate School
Ignacio Laguna, Lawrence Livermore National Laboratory
Stefan Leue, University of Konstanz
Michael Locasto, Narf Industries
Bertram Ludäscher, University of Illinois - Urbana-Champaign
Alyssa Milburn, Intel
Jelena Mirkovic, Information Sciences Institute
Sean Oesch, Oak Ridge National Laboratory
Limor Peer, Yale University
Sean Peisert, Lawrence Berkeley National Laboratory
Solal Pirelli, Sonar
Beth Plale, Indiana University - Bloomington
Lutz Prechelt, Free University of Berlin
Vicky Rampin, New York University
Birali Runesha, University of Chicago
Mahadev Satyanarayanan, Carnegie Mellon University
Stefanie Scherzinger, University of Passau
Sameer Shende, University of Oregon
Salvatore Signorello, University of Lisbon
Douglas Thain, University of Notre Dame
Rafael Tolosana-Calasanz, University of Zaragoza
Petr Tuma, Charles University
Anjo Vahldiek-Oberwagner, Intel Labs
Theo Zimmermann, Telecom Paris
